authority,classification,note
AUS,Anthroposols,
AUS,Organosols,
AUS,Podosols,
AUS,Vertosols,
AUS,Hydrosols,
AUS,Kurosols,
AUS,Sodosols,
AUS,Chromosols,
AUS,Calcarosols,
AUS,Ferrosols,
AUS,Dermosols,
AUS,Kandosols,
AUS,Rudosols,
AUS,Tenosols,
FAO,HISTOSOLS,
FAO,CRYOSOLS,
FAO,ANTHROSOLS,
FAO,LEPTOSOLS,
FAO,VERTISOLS,
FAO,FLUVISOLS,
FAO,SOLONCHAKS,
FAO,GLEYSOLS,
FAO,ANDOSOLS,
FAO,PODZOLS,
FAO,PLINTHOSOLS,
FAO,FERRALSOLS,
FAO,SOLONETZ,
FAO,PLANOSOLS,
FAO,CHERNOZEMS,
FAO,KASTANOZEMS,
FAO,PHAEOZEMS,
FAO,GYPSISOLS,
FAO,DURISOLS,
FAO,CALCISOLS,
FAO,ALBELUVISOLS,
FAO,ALISOLS,
FAO,NITISOLS,
FAO,ACRISOLS,
FAO,LUVISOLS,
FAO,LIXISOLS,
FAO,UMBRISOLS,
FAO,CAMBISOLS,
FAO,ARENOSOLS,
FAO,REGOSOLS,
